time,frame,throttle,brake,steer,speed,imu_ax,imu_ay,imu_az
1765391067.7944868,978,0.000,0.000,0.000,0.239,0.0000,0.0000,0.0000
1765391067.802488,979,0.000,0.000,0.000,0.236,0.0000,0.0000,0.0000
1765391067.812502,980,0.000,0.000,0.000,0.229,0.0000,0.0000,0.0000
1765391067.8225274,981,0.000,0.000,0.000,0.223,0.0000,0.0000,0.0000
1765391067.8450878,982,0.000,0.000,0.000,0.215,0.0000,0.0000,0.0000
1765391067.8470876,983,0.850,0.000,-0.001,0.206,0.0000,0.0000,0.0000
1765391067.8621025,984,0.850,0.000,-0.001,0.194,0.0000,0.0000,0.0000
1765391067.872183,985,0.850,0.000,-0.001,0.185,0.0000,0.0000,0.0000
1765391067.880211,986,0.850,0.000,-0.001,0.179,0.0000,0.0000,0.0000
1765391067.889224,987,0.850,0.000,-0.014,0.172,0.0000,0.0000,0.0000
1765391067.8998866,988,0.850,0.000,-0.014,0.163,0.0000,0.0000,0.0000
1765391067.9303372,989,0.850,0.000,-0.014,0.154,0.0000,0.0000,0.0000
1765391067.931338,990,0.850,0.000,-0.014,0.137,0.0000,0.0000,0.0000
1765391067.9393942,991,0.850,0.000,-0.010,0.131,0.0000,0.0000,0.0000
1765391067.9476655,992,0.850,0.000,-0.010,0.125,0.0000,0.0000,0.0000
1765391067.9542542,993,0.850,0.000,-0.010,0.120,0.0000,0.0000,0.0000
1765391067.964263,994,0.850,0.000,-0.010,0.112,0.0000,0.0000,0.0000
1765391067.97427,995,0.850,0.000,-0.010,0.107,0.0000,0.0000,0.0000
1765391067.9922829,996,0.850,0.000,-0.010,0.096,0.0000,0.0000,0.0000
1765391068.0123022,997,0.850,0.000,-0.010,0.085,0.0000,0.0000,0.0000
1765391068.0273316,998,0.850,0.000,-0.010,0.077,0.0000,0.0000,0.0000
1765391068.0393445,999,0.850,0.000,-0.010,0.072,0.0000,0.0000,0.0000
1765391068.0473578,1000,0.850,0.000,-0.010,0.065,0.0000,0.0000,0.0000
1765391068.0598843,1001,0.850,0.000,-0.010,0.063,0.0000,0.0000,0.0000
1765391068.0686855,1002,0.850,0.000,-0.010,0.057,0.0000,0.0000,0.0000
1765391068.0776553,1003,0.850,0.000,-0.010,0.054,0.0000,0.0000,0.0000
1765391068.087335,1004,0.850,0.000,-0.010,0.050,0.0000,0.0000,0.0000
1765391068.0977602,1005,0.850,0.000,-0.010,0.049,0.0000,0.0000,0.0000
1765391068.1295514,1006,0.850,0.000,-0.010,0.045,0.0000,0.0000,0.0000
1765391068.1315513,1007,0.850,0.000,-0.010,0.037,0.0000,0.0000,0.0000
1765391068.1390646,1008,0.850,0.000,-0.010,0.035,0.0000,0.0000,0.0000
1765391068.1480942,1009,0.850,0.000,-0.010,0.032,0.0000,0.0000,0.0000
1765391068.1614385,1010,0.850,0.000,-0.010,0.031,0.0000,0.0000,0.0000
1765391068.1739843,1011,0.850,0.000,-0.010,0.029,0.0000,0.0000,0.0000
1765391068.1998472,1012,0.850,0.000,-0.010,0.021,0.0000,0.0000,0.0000
1765391068.2077148,1013,0.850,0.000,-0.010,0.020,0.0000,0.0000,0.0000
1765391068.2173393,1014,0.850,0.000,-0.010,0.018,0.0000,0.0000,0.0000
1765391068.2263598,1015,0.850,0.000,-0.010,0.019,0.0000,0.0000,0.0000
1765391068.234439,1016,0.850,0.000,-0.010,0.017,0.0000,0.0000,0.0000
1765391068.24496,1017,0.850,0.000,-0.010,0.018,0.0000,0.0000,0.0000
1765391068.2761927,1018,0.850,0.000,-0.010,0.017,0.0000,0.0000,0.0000
1765391068.278193,1019,0.850,0.000,-0.010,0.012,0.0000,0.0000,0.0000
1765391068.2836435,1020,0.850,0.000,-0.010,0.013,0.0000,0.0000,0.0000
